domain	type	auto_value	value
chronometre-en-ligne.com	DP14	unconfirmed	False
chronometre-en-ligne.com	DP15	unconfirmed	False
hofstede-insights.com	DP1	False	False
hofstede-insights.com	DP2	True	True
hofstede-insights.com	DP3	False	False
hofstede-insights.com	DP4	False	False
hofstede-insights.com	DP5	True	True
hofstede-insights.com	DP6	False	False
hofstede-insights.com	DP7	False	False
hofstede-insights.com	DP8	False	False
hofstede-insights.com	time to reject cookies manually	4.94554299999982	4.94554299999982
hofstede-insights.com	number of clicks to reject cookies	1	1
hofstede-insights.com	DP10	unconfirmed	False
hofstede-insights.com	DP12	unconfirmed	False
hofstede-insights.com	DP13	unconfirmed	False
hofstede-insights.com	DP14	unconfirmed	False
hofstede-insights.com	DP15	unconfirmed	False
bitcentral.com	DP1	False	False
bitcentral.com	DP2	True	True
bitcentral.com	DP3	False	False
bitcentral.com	DP4	False	False
bitcentral.com	DP5	True	True
bitcentral.com	DP6	False	False
bitcentral.com	DP7	False	False
bitcentral.com	DP8	False	False
bitcentral.com	time to reject cookies manually	8.5394284999993	8.5394284999993
bitcentral.com	number of clicks to reject cookies	2	2
bitcentral.com	DP10	unconfirmed	True
bitcentral.com	DP12	unconfirmed	False
bitcentral.com	DP13	unconfirmed	False
bitcentral.com	DP14	unconfirmed	False
bitcentral.com	DP15	unconfirmed	False
e-bikeinfo.nl	no cookie dialog	True	True
br-succeed.jp	no cookie dialog	True	True
90tiyu.com	no cookie dialog	True	True
hurstathletics.com	no cookie dialog	True	True
climatedepot.com	no cookie dialog	True	True
schbang.com	no cookie dialog	True	True
theiphoneblog.com	DP1	False	False
theiphoneblog.com	DP2	False	False
theiphoneblog.com	DP3	False	False
theiphoneblog.com	DP4	True	True
theiphoneblog.com	DP5	False	False
theiphoneblog.com	DP6	False	False
theiphoneblog.com	DP7	False	False
theiphoneblog.com	DP8	False	False
theiphoneblog.com	time to reject cookies manually	9.68628100000024	9.68628100000024
theiphoneblog.com	number of clicks to reject cookies	3	3
theiphoneblog.com	DP10	unconfirmed	True
theiphoneblog.com	DP12	unconfirmed	False
theiphoneblog.com	DP13	unconfirmed	False
theiphoneblog.com	DP14	unconfirmed	False
theiphoneblog.com	DP15	unconfirmed	False
sg560.com	no cookie dialog	True	True
nolvadex.com	no cookie dialog	True	True
clikeo.fr	DP1	False	False
clikeo.fr	DP2	True	True
clikeo.fr	DP3	False	False
clikeo.fr	DP4	True	True
clikeo.fr	DP5	False	False
clikeo.fr	DP6	True	True
clikeo.fr	DP7	False	False
clikeo.fr	DP8	False	False
clikeo.fr	time to reject cookies manually	12.7243842000007	12.7243842000007
clikeo.fr	number of clicks to reject cookies	5	5
clikeo.fr	DP10	unconfirmed	True
clikeo.fr	DP12	unconfirmed	False
clikeo.fr	DP13	unconfirmed	False
clikeo.fr	DP14	unconfirmed	False
clikeo.fr	DP15	unconfirmed	False
cphoto.net	no cookie dialog	True	True
showbizpizza.com	no cookie dialog	True	True
topsdemo.in	no cookie dialog	True	True
nychhc.org	no cookie dialog	True	True
yerdle.com	no cookie dialog	True	True
lawyer02.com	no cookie dialog	True	True
neighborhoodondemand.com	no cookie dialog	True	True
vedabase.com	no cookie dialog	True	True
endojournals.org	no cookie dialog	True	True
ahgbjy.gov.cn	no cookie dialog	True	True
smithtownny.gov	no cookie dialog	True	True
kisistechnologies.com	no cookie dialog	True	True
castellodivezio.it	no cookie dialog	True	True
torn.com	no cookie dialog	True	True
nike-jordans.com	no cookie dialog	True	True
minnesotanonprofits.org	DP1	False	False
minnesotanonprofits.org	DP2	False	False
minnesotanonprofits.org	DP3	False	False
minnesotanonprofits.org	DP4	False	False
minnesotanonprofits.org	DP5	False	False
minnesotanonprofits.org	DP6	False	False
minnesotanonprofits.org	DP7	False	False
minnesotanonprofits.org	DP8	False	False
minnesotanonprofits.org	time to reject cookies manually	4.30963410000004	4.30963410000004
minnesotanonprofits.org	number of clicks to reject cookies	1	1
minnesotanonprofits.org	DP10	unconfirmed	False
minnesotanonprofits.org	DP12	unconfirmed	False
minnesotanonprofits.org	DP13	unconfirmed	False
minnesotanonprofits.org	DP14	unconfirmed	False
minnesotanonprofits.org	DP15	unconfirmed	False
digiflight.org	no cookie dialog	True	True
emanway.com	no cookie dialog	True	True
asblog.ir	no cookie dialog	True	True
prombo.de	DP1	False	False
prombo.de	DP2	False	False
prombo.de	DP3	False	False
prombo.de	DP4	True	True
prombo.de	DP5	False	False
prombo.de	DP6	False	False
prombo.de	DP7	False	False
prombo.de	DP8	False	False
prombo.de	time to reject cookies manually	10.2840185000005	10.2840185000005
prombo.de	number of clicks to reject cookies	1	1
prombo.de	DP10	unconfirmed	True
prombo.de	DP12	unconfirmed	False
prombo.de	DP13	unconfirmed	False
prombo.de	DP14	unconfirmed	False
prombo.de	DP15	unconfirmed	False
harrishealth.org	no cookie dialog	True	True
vechain.com	no cookie dialog	True	True
mainlybedding.com	no cookie dialog	True	True
studentloansherpa.com	no cookie dialog	True	True
everydaydiabeticrecipes.com	DP1	False	False
everydaydiabeticrecipes.com	DP2	False	False
everydaydiabeticrecipes.com	DP3	False	False
everydaydiabeticrecipes.com	DP4	True	True
everydaydiabeticrecipes.com	DP5	True	True
everydaydiabeticrecipes.com	DP6	False	False
everydaydiabeticrecipes.com	DP7	False	False
everydaydiabeticrecipes.com	DP8	False	False
everydaydiabeticrecipes.com	time to reject cookies manually	9.2803913000007	9.2803913000007
everydaydiabeticrecipes.com	number of clicks to reject cookies	2	2
everydaydiabeticrecipes.com	DP10	unconfirmed	True
everydaydiabeticrecipes.com	DP12	unconfirmed	False
everydaydiabeticrecipes.com	DP13	unconfirmed	False
