domain	status	timestamp	time	category
navicamls.net	no dialog found	2022-02-13 14:50:48	10.6860288999997	Real Estate
symmetry.fi	no dialog found	2022-02-13 14:50:59	14.372795700001	Business
free-spider-solitaire.net	no dialog found	2022-02-13 14:51:13	16.3702063000001	Newly Observed Domain
moboiran.com	no dialog found	2022-02-13 14:51:29	14.7502090999988	Newsgroups and Message Boards
schnell-viel-abnehmen-de.eu	no dialog found	2022-02-13 14:51:45	14.3115134	Business
pizzeriagelosa.com	no dialog found	2022-02-13 14:51:58	16.4852144000015	Information Technology
acteol.com	completed	2022-02-13 14:52:15	80.0623001999993	Information Technology
louloumagazine.com	no dialog found	2022-02-13 14:53:35	9.30380780000087	Society and Lifestyles
beautyandfashiontech.com	no dialog found	2022-02-13 14:53:44	20.3788089999998	Shopping
millbrook.co.uk	completed	2022-02-13 14:54:05	132.696655600001	Business
jtechdigital.com	completed	2022-02-13 14:56:17	101.924465300001	Business
aasarchitecture.com	no dialog found	2022-02-13 14:58:00	15.8960779000008	Arts and Culture
hermagroup.com	no dialog found	2022-02-13 14:58:16	95.3311292000017	Business
adnet.cash	no dialog found	2022-02-13 14:59:51	10.2239307	Business
camaratenerife.com	completed	2022-02-13 15:00:01	115.853933300001	Business
gridiron-uniforms.com	completed	2022-02-13 15:01:57	88.5129735999999	Sports
nnzljx.com	no dialog found	2022-02-13 15:03:26	11.7268998	Business
hbio.de	no dialog found	2022-02-13 15:03:37	28.5268402999991	Business
websyndic.com	no dialog found	2022-02-13 15:04:05	22.3745424999997	Information Technology
pinecorners.com	failed to connect	2022-02-13 15:04:39	0.0	Business
adultsdirectory.info	no dialog found	2022-02-13 15:05:05	12.3169450000005	Pornography
pik-potsdam.de	no dialog found	2022-02-13 15:05:17	36.1770919999999	Reference
captive.com	no dialog found	2022-02-13 15:05:54	12.0716570000004	Finance and Banking
boerenbond.nl	completed	2022-02-13 15:06:05	76.7761061000001	Shopping
broforcegame.com	no dialog found	2022-02-13 15:07:22	24.7029414999997	Games
kabsis.com.tr	completed	2022-02-13 15:07:47	82.5098626999989	Business
weproject.media	no dialog found	2022-02-13 15:09:09	29.7173320000002	General Organizations
livebaltimore.com	no dialog found	2022-02-13 15:09:39	30.7237692999988	Real Estate
documentarystorm.com	no dialog found	2022-02-13 15:10:10	20.5919379000006	Education
bee-keepingequipment.com	no dialog found	2022-02-13 15:10:30	20.7294399999992	Business
gardo.de	no dialog found	2022-02-13 15:10:51	28.4291903000012	Business
ruby.or.jp	no dialog found	2022-02-13 15:11:19	14.8349693	Information Technology
taiyakinyc.com	no dialog found	2022-02-13 15:11:34	30.0319404000002	Business
esdlc6.us	no dialog found	2022-02-13 15:12:04	30.7758448999994	News and Media
tomsshoesuk.org.uk	no dialog found	2022-02-13 15:12:35	9.60813150000104	Business
